Loch,Volume_km3,Volume_mi3,Area_km2,Area_mi2,Length_km,Length_mi,Max.depth_m,Max.depth_ft,Mean.depth_m,Mean.depth_ft
Loch Ness,7.45,1.79,56,22,36.2,22.5,227,745,132,433
Loch Lomond,2.6,0.62,71,27,36,22,190,620,37,121
Loch Morar,2.3,0.55,26.7,10.3,18.8,11.7,310,"1,020",87,285
Loch Tay,1.6,0.38,26.4,10.2,23,14,150,490,60.6,199
Loch Awe,1.2,0.29,39,15,41,25,94,308,32,105
Loch Maree,1.09,0.26,28.6,11.0,20,12,114,374,38,125
Loch Ericht,1.08,0.26,18.6,7.2,23,14,156,512,57.6,189
Loch Lochy,1.07,0.26,16,6.2,16,9.9,162,531,70,230
Loch Rannoch,0.97,0.23,19,7.3,15.7,9.8,134,440,51,167
Loch Shiel,0.79,0.19,19.5,7.5,28,17,128,420,40,130
Loch Katrine,0.77,0.18,12.4,4.8,12.9,8.0,151,495,43.4,142
Loch Arkaig,0.75,0.18,16,6.2,19.3,12.0,109,358,46.5,153
Loch Shin,0.35,0.084,22.5,8.7,27.8,17.3,49,161,15.5,51
