Extraction,Colour,box_label,box_prob,P(E_b),P(E_w)
0,-,P(H_0),0.1111111111111111,0.5,0.5
0,-,P(H_1),0.1111111111111111,0.5,0.5
0,-,P(H_2),0.1111111111111111,0.5,0.5
0,-,P(H_3),0.1111111111111111,0.5,0.5
0,-,P(H_4),0.1111111111111111,0.5,0.5
0,-,P(H_5),0.1111111111111111,0.5,0.5
0,-,P(H_6),0.1111111111111111,0.5,0.5
0,-,P(H_7),0.1111111111111111,0.5,0.5
0,-,P(H_8),0.1111111111111111,0.5,0.5
1,W,P(H_0),0,0.29166666666666674,0.7083333333333333
1,W,P(H_1),0.027777777777777776,0.29166666666666674,0.7083333333333333
1,W,P(H_2),0.05555555555555555,0.29166666666666674,0.7083333333333333
1,W,P(H_3),0.08333333333333333,0.29166666666666674,0.7083333333333333
1,W,P(H_4),0.1111111111111111,0.29166666666666674,0.7083333333333333
1,W,P(H_5),0.1388888888888889,0.29166666666666674,0.7083333333333333
1,W,P(H_6),0.16666666666666666,0.29166666666666674,0.7083333333333333
1,W,P(H_7),0.19444444444444442,0.29166666666666674,0.7083333333333333
1,W,P(H_8),0.2222222222222222,0.29166666666666674,0.7083333333333333
2,B,P(H_0),0,0.5,0.5
2,B,P(H_1),0.08333333333333333,0.5,0.5
2,B,P(H_2),0.14285714285714288,0.5,0.5
2,B,P(H_3),0.17857142857142858,0.5,0.5
2,B,P(H_4),0.1904761904761905,0.5,0.5
2,B,P(H_5),0.1785714285714286,0.5,0.5
2,B,P(H_6),0.14285714285714288,0.5,0.5
2,B,P(H_7),0.08333333333333333,0.5,0.5
2,B,P(H_8),0,0.5,0.5
3,W,P(H_0),0,0.40625,0.59375
3,W,P(H_1),0.020833333333333332,0.40625,0.59375
3,W,P(H_2),0.07142857142857144,0.40625,0.59375
3,W,P(H_3),0.13392857142857142,0.40625,0.59375
3,W,P(H_4),0.1904761904761905,0.40625,0.59375
3,W,P(H_5),0.22321428571428575,0.40625,0.59375
3,W,P(H_6),0.2142857142857143,0.40625,0.59375
3,W,P(H_7),0.14583333333333331,0.40625,0.59375
3,W,P(H_8),0,0.40625,0.59375
4,B,P(H_0),0,0.5,0.5
4,B,P(H_1),0.044871794871794865,0.5,0.5
4,B,P(H_2),0.13186813186813187,0.5,0.5
4,B,P(H_3),0.20604395604395603,0.5,0.5
4,B,P(H_4),0.23443223443223446,0.5,0.5
4,B,P(H_5),0.20604395604395606,0.5,0.5
4,B,P(H_6),0.13186813186813187,0.5,0.5
4,B,P(H_7),0.044871794871794865,0.5,0.5
4,B,P(H_8),0,0.5,0.5
5,W,P(H_0),0,0.4289148351648351,0.5710851648351649
5,W,P(H_1),0.011217948717948716,0.4289148351648351,0.5710851648351649
5,W,P(H_2),0.06593406593406594,0.4289148351648351,0.5710851648351649
5,W,P(H_3),0.15453296703296704,0.4289148351648351,0.5710851648351649
5,W,P(H_4),0.23443223443223446,0.4289148351648351,0.5710851648351649
5,W,P(H_5),0.2575549450549451,0.4289148351648351,0.5710851648351649
5,W,P(H_6),0.19780219780219782,0.4289148351648351,0.5710851648351649
5,W,P(H_7),0.07852564102564101,0.4289148351648351,0.5710851648351649
5,W,P(H_8),0,0.4289148351648351,0.5710851648351649
6,W,P(H_0),0,0.37552615754660257,0.6244738424533974
6,W,P(H_1),0.0024554018841451185,0.37552615754660257,0.6244738424533974
6,W,P(H_2),0.028863499699338543,0.37552615754660257,0.6244738424533974
6,W,P(H_3),0.10147324113048706,0.37552615754660257,0.6244738424533974
6,W,P(H_4),0.20525155341751852,0.37552615754660257,0.6244738424533974
6,W,P(H_5),0.28187011425135294,0.37552615754660257,0.6244738424533974
6,W,P(H_6),0.2597714972940469,0.37552615754660257,0.6244738424533974
6,W,P(H_7),0.12031469232311082,0.37552615754660257,0.6244738424533974
6,W,P(H_8),0,0.37552615754660257,0.6244738424533974
7,W,P(H_0),0,0.334211001444391,0.665788998555609
7,W,P(H_1),4.914941421922643e-4,0.334211001444391,0.665788998555609
7,W,P(H_2),0.011555127587867116,0.334211001444391,0.665788998555609
7,W,P(H_3),0.06093524313914299,0.334211001444391,0.665788998555609
7,W,P(H_4),0.16433959236077675,0.334211001444391,0.665788998555609
7,W,P(H_5),0.28210760712566196,0.334211001444391,0.665788998555609
7,W,P(H_6),0.3119884448724122,0.334211001444391,0.665788998555609
7,W,P(H_7),0.16858249077194667,0.334211001444391,0.665788998555609
7,W,P(H_8),0,0.334211001444391,0.665788998555609
8,W,P(H_0),0,0.30136042123341844,0.6986395787665816
8,W,P(H_1),9.22766340497013e-5,0.30136042123341844,0.6986395787665816
8,W,P(H_2),0.004338884996949221,0.30136042123341844,0.6986395787665816
8,W,P(H_3),0.034321258276649114,0.30136042123341844,0.6986395787665816
8,W,P(H_4),0.12341717324655563,0.30136042123341844,0.6986395787665816
8,W,P(H_5),0.2648245237395765,0.30136042123341844,0.6986395787665816
8,W,P(H_6),0.351449684752887,0.30136042123341844,0.6986395787665816
8,W,P(H_7),0.22155619835333284,0.30136042123341844,0.6986395787665816
8,W,P(H_8),0,0.30136042123341844,0.6986395787665816
9,B,P(H_0),0,0.3631554403659405,0.6368445596340595
9,B,P(H_1),2.679252121530251e-4,0.3631554403659405,0.6368445596340595
9,B,P(H_2),0.010798245285141164,0.3631554403659405,0.6368445596340595
9,B,P(H_3),0.07117983952607701,0.3631554403659405,0.6368445596340595
9,B,P(H_4),0.20476672540712135,0.3631554403659405,0.6368445596340595
9,B,P(H_5),0.32953629410220836,0.3631554403659405,0.6368445596340595
9,B,P(H_6),0.2915526226988115,0.3631554403659405,0.6368445596340595
9,B,P(H_7),0.09189834776848761,0.3631554403659405,0.6368445596340595
9,B,P(H_8),0,0.3631554403659405,0.6368445596340595
10,B,P(H_0),0,0.41655562474390456,0.5834443752560954
10,B,P(H_1),6.455488052104204e-4,0.41655562474390456,0.5834443752560954
10,B,P(H_2),0.022300874676956732,0.41655562474390456,0.5834443752560954
10,B,P(H_3),0.122502363337775,0.41655562474390456,0.5834443752560954
10,B,P(H_4),0.28192710702720614,0.41655562474390456,0.5834443752560954
10,B,P(H_5),0.34028434260493057,0.41655562474390456,0.5834443752560954
10,B,P(H_6),0.20070787209261062,0.41655562474390456,0.5834443752560954
10,B,P(H_7),0.0316318914553106,0.41655562474390456,0.5834443752560954
10,B,P(H_8),0,0.41655562474390456,0.5834443752560954
11,W,P(H_0),0,0.38442721452488327,0.6155727854751167
11,W,P(H_1),1.3830555931897213e-4,0.38442721452488327,0.6155727854751167
11,W,P(H_2),0.00955569871899444,0.38442721452488327,0.6155727854751167
11,W,P(H_3),0.07873653119288632,0.38442721452488327,0.6155727854751167
11,W,P(H_4),0.24160581452469895,0.38442721452488327,0.6155727854751167
11,W,P(H_5),0.36452097774484404,0.38442721452488327,0.6155727854751167
11,W,P(H_6),0.2580038654128499,0.38442721452488327,0.6155727854751167
11,W,P(H_7),0.04743880684640744,0.38442721452488327,0.6155727854751167
11,W,P(H_8),0,0.38442721452488327,0.6155727854751167
12,W,P(H_0),0,0.35684016970147836,0.6431598302985216
12,W,P(H_1),2.808472908939272e-5,0.35684016970147836,0.6431598302985216
12,W,P(H_2),0.003880815942674869,0.35684016970147836,0.6431598302985216
12,W,P(H_3),0.04796540700632696,0.35684016970147836,0.6431598302985216
12,W,P(H_4),0.1962447172987193,0.35684016970147836,0.6431598302985216
12,W,P(H_5),0.37010344912289317,0.35684016970147836,0.6431598302985216
12,W,P(H_6),0.3143460913566644,0.35684016970147836,0.6431598302985216
12,W,P(H_7),0.06743143454363192,0.35684016970147836,0.6431598302985216
12,W,P(H_8),0,0.35684016970147836,0.6431598302985216
13,W,P(H_0),0,0.33287526277826673,0.6671247372217333
13,W,P(H_1),5.458349496958873e-6,0.33287526277826673,0.6671247372217333
13,W,P(H_2),0.001508495928948794,0.33287526277826673,0.6671247372217333
13,W,P(H_3),0.02796665273548561,0.33287526277826673,0.6671247372217333
13,W,P(H_4),0.15256294629566078,0.33287526277826673,0.6671247372217333
13,W,P(H_5),0.35965345596046305,0.33287526277826673,0.6671247372217333
13,W,P(H_6),0.366564510734557,0.33287526277826673,0.6671247372217333
13,W,P(H_7),0.09173847999538777,0.33287526277826673,0.6671247372217333
13,W,P(H_8),0,0.33287526277826673,0.6671247372217333
14,W,P(H_0),0,0.3118418040107267,0.6881581959892733
14,W,P(H_1),1.0227378015711088e-6,0.3118418040107267,0.6881581959892733
14,W,P(H_2),5.652975541092149e-4,0.3118418040107267,0.6881581959892733
14,W,P(H_3),0.015720440557312688,0.3118418040107267,0.6881581959892733
14,W,P(H_4),0.11434364353735035,0.3118418040107267,0.6881581959892733
14,W,P(H_5),0.3369435990507691,0.3118418040107267,0.6881581959892733
14,W,P(H_6),0.41210191694561765,0.3118418040107267,0.6881581959892733
14,W,P(H_7),0.12032407961703936,0.3118418040107267,0.6881581959892733
14,W,P(H_8),0,0.3118418040107267,0.6881581959892733
15,B,P(H_0),0,0.35295010687758654,0.6470498931224135
15,B,P(H_1),2.8697101057815128e-6,0.35295010687758654,0.6470498931224135
15,B,P(H_2),0.0013595777093674312,0.35295010687758654,0.6470498931224135
15,B,P(H_3),0.0315072425247465,0.35295010687758654,0.6470498931224135
15,B,P(H_4),0.18333597687469957,0.35295010687758654,0.6470498931224135
15,B,P(H_5),0.405185732056925,0.35295010687758654,0.6470498931224135
15,B,P(H_6),0.3303773833762858,0.35295010687758654,0.6470498931224135
15,B,P(H_7),0.048231217747869884,0.35295010687758654,0.6470498931224135
15,B,P(H_8),0,0.35295010687758654,0.6470498931224135
16,W,P(H_0),0,0.33329762657843476,0.6667023734215652
16,W,P(H_1),5.54383467234149e-7,0.33329762657843476,0.6667023734215652
16,W,P(H_2),5.25298637639299e-4,0.33329762657843476,0.6667023734215652
16,W,P(H_3),0.018260131208374455,0.33329762657843476,0.6667023734215652
16,W,P(H_4),0.14167066467625147,0.33329762657843476,0.6667023734215652
16,W,P(H_5),0.39137798371858806,0.33329762657843476,0.6667023734215652
16,W,P(H_6),0.382942706839049,0.33329762657843476,0.6667023734215652
16,W,P(H_7),0.0652226605366304,0.33329762657843476,0.6667023734215652
16,W,P(H_8),0,0.33329762657843476,0.6667023734215652
17,B,P(H_0),0,0.36855044041453167,0.6314495595854683
17,B,P(H_1),1.4554125056624897e-6,0.36855044041453167,0.6314495595854683
17,B,P(H_2),0.0011820485560426297,0.36855044041453167,0.6314495595854683
17,B,P(H_3),0.0342414139650296,0.36855044041453167,0.6314495595854683
17,B,P(H_4),0.21252876315174155,0.36855044041453167,0.6314495595854683
17,B,P(H_5),0.4403474018136521,0.36855044041453167,0.6314495595854683
17,B,P(H_6),0.28723779911835906,0.36855044041453167,0.6314495595854683
17,B,P(H_7),0.024461117982669464,0.36855044041453167,0.6314495595854683
17,B,P(H_8),0,0.36855044041453167,0.6314495595854683
18,B,P(H_0),0,0.40003257182000385,0.5999674281799962
18,B,P(H_1),3.4553911834220285e-6,0.40003257182000385,0.5999674281799962
18,B,P(H_2),0.0024054683425010414,0.40003257182000385,0.5999674281799962
18,B,P(H_3),0.05806771985965502,0.40003257182000385,0.5999674281799962
18,B,P(H_4),0.2883306324538606,0.40003257182000385,0.5999674281799962
18,B,P(H_5),0.4480533939788193,0.40003257182000385,0.5999674281799962
18,B,P(H_6),0.19484293574258438,0.40003257182000385,0.5999674281799962
18,B,P(H_7),0.008296394231396291,0.40003257182000385,0.5999674281799962
18,B,P(H_8),0,0.40003257182000385,0.5999674281799962
19,W,P(H_0),0,0.3810151272398733,0.6189848727601267
19,W,P(H_1),7.19912244633007e-7,0.3810151272398733,0.6189848727601267
19,W,P(H_2),0.001002332889052844,0.3810151272398733,0.6189848727601267
19,W,P(H_3),0.03629429519770162,0.3810151272398733,0.6189848727601267
19,W,P(H_4),0.24028857143838023,0.3810151272398733,0.6189848727601267
19,W,P(H_5),0.4667476234272325,0.3810151272398733,0.6189848727601267
19,W,P(H_6),0.24356689203984114,0.3810151272398733,0.6189848727601267
19,W,P(H_7),0.012099565095546952,0.3810151272398733,0.6189848727601267
19,W,P(H_8),0,0.3810151272398733,0.6189848727601267
20,B,P(H_0),0,0.40907125521433463,0.5909287447856654
20,B,P(H_1),1.6532761274260498e-6,0.40907125521433463,0.5909287447856654
