,Unnamed: 0,coord_y,coord_x,tumor_patch,center_tumor_patch,wsi
0,0,63104,43648,False,False,camelyon16_train_tumor_104
1,1,148544,74048,True,True,camelyon16_train_tumor_003
2,2,64192,78912,True,True,camelyon16_train_tumor_089
3,3,98048,72128,True,True,camelyon16_train_tumor_004
4,4,27264,50688,False,False,camelyon16_train_normal_118
5,5,59712,95296,False,False,camelyon16_train_normal_136
6,6,14784,40128,False,False,camelyon16_train_normal_130
7,7,96576,75648,True,True,camelyon16_train_tumor_004
8,8,63616,74688,True,True,camelyon16_train_tumor_095
9,9,18944,47040,True,True,camelyon16_train_tumor_102
10,10,131136,77952,True,True,camelyon16_train_tumor_056
11,11,121920,7936,True,True,camelyon16_train_tumor_060
12,12,115648,63936,True,True,camelyon16_train_tumor_047
13,13,107520,61888,False,False,camelyon16_train_tumor_026
14,14,110016,27136,True,True,camelyon16_train_tumor_051
15,15,103936,68544,True,True,camelyon16_train_tumor_054
16,16,152960,79168,True,True,camelyon16_train_tumor_003
17,17,15168,59776,True,True,camelyon16_train_tumor_075
18,18,72256,48448,True,True,camelyon16_train_tumor_014
19,19,27712,35264,True,True,camelyon16_train_tumor_103
20,20,56000,41600,True,True,camelyon16_train_tumor_088
21,21,177600,49088,True,True,camelyon16_train_tumor_061
22,22,8320,42368,True,True,camelyon16_train_tumor_102
23,23,77056,36672,False,False,camelyon16_train_normal_072
24,24,166720,91136,True,True,camelyon16_train_tumor_020
25,25,47168,33216,True,True,camelyon16_train_tumor_075
26,26,37120,40576,True,True,camelyon16_train_tumor_090
27,27,146176,57472,False,False,camelyon16_train_normal_042
28,28,59904,126080,True,True,camelyon16_train_tumor_077
29,29,109504,55040,True,True,camelyon16_train_tumor_022
30,30,86976,39104,True,True,camelyon16_train_tumor_035
31,31,14464,41280,True,True,camelyon16_train_tumor_096
32,32,140672,28032,False,False,camelyon16_train_tumor_038
33,33,64640,66432,True,True,camelyon16_train_tumor_021
34,34,148160,62592,False,False,camelyon16_train_tumor_059
35,35,157248,51264,True,True,camelyon16_train_tumor_044
36,36,75072,27520,True,True,camelyon16_train_tumor_041
37,37,141376,37056,True,True,camelyon16_train_tumor_040
38,38,28224,34432,True,True,camelyon16_train_tumor_103
39,39,142464,71168,False,False,camelyon16_train_tumor_060
40,40,188736,64704,True,True,camelyon16_train_tumor_068
